Intensity,Reaction Time,Reversal Duration
60,0.5125,5.125
0,0.4875,10.4625
40,0.4875,8.5875
20,0.5625,3.75
40,0.475,9.9375
10,0.4625,8.9125
20,0.4625,8.2875
80,0.6,13.4
0,0.5125,2.8375
40,0.5,2.7
60,0.4,16.575
80,0.5125,3.0625
20,0.4125,9.8875
10,0.4625,2.95
0,0.5,5.7875
60,0.4625,5.775
40,0.525,12.025
20,0.5625,6.8625
80,0.4875,2.8375
10,0.4875,6.725
60,0.5625,11.2375
40,0.5875,3.325
80,0.5,4.5125
0,0.2875,13.225
10,0.5125,1.9125
20,0.4875,3.4
60,0.1625,22.85
40,0.475,4.75
10,0.55,5.975
80,0.575,5.0875
20,0.3375,13.2375
40,0.375,25.5
60,0.625,3.6125
20,0.65,6.5125
80,0.45,6.9625
0,0.4625,15.175
40,0.4375,21.45
60,0.55,12.5125
80,0.45,3.8875
20,0.675,15.85
10,0.3125,12.5875
0,1.575,13.775
40,0.8125,11.225
20,0.4875,13.7375
80,0.5125,14.125
10,0.425,14.05
60,0.3,9.075
40,0.475,11.825
80,0.425,7.7625
0,0.45,15.275
10,0.425,11.5875
20,0.4125,7.375
40,1.5375,2.8
10,1.1,3.2625
80,0.6,7.575
20,1.2,13.2125
40,0.7875,5.9125
10,1.0875,2.65
60,1.6125,10.6875
80,0.775,6.025
0,1.0875,3.9875
40,1.4375,5.75
60,0.725,14.8625
80,1.2375,2.15
10,0.15,17.875
0,0.675,0.9
60,1.2625,2.9375
40,1.8,4.8
20,0.5625,6.85
80,1.225,2.825
0,1.075,5.425
10,1.1375,15.075
60,0.625,17.275
40,0.875,6.6375
80,1.2375,2.1375
0,0.9875,20.1375
10,0.7375,8.0625
20,0.8875,2.65
60,0.8,10.9875
0,1.3125,2.45
40,0.5875,3.0
10,0.675,7.1625
80,1.05,4.7375
20,0.625,5.2125
40,0.6125,6.375
20,1.125,7.475
80,0.7625,4.25
0,0.4375,5.325
60,0.9875,6.2875
10,0.475,3.7875
0,0.8625,5.5875
60,0.7375,7.7375
40,0.7375,18.7
20,0.675,2.975
80,1.8625,2.875
0,0.6125,6.625
10,1.5125,9.1375
60,1.0,7.1625
40,0.65,11.25
80,1.3875,5.875
0,1.2625,2.825
10,1.2875,13.3125
20,0.8125,7.2625
60,0.5125,7.85
0,0.5375,10.525
10,0.6,8.175
20,0.6625,12.2375
60,0.6,12.925
20,0.5625,6.3375
80,0.6625,9.675
0,0.5875,5.0
40,0.675,9.15
60,0.65,22.1
80,0.625,2.9625
20,0.425,15.95
10,0.625,15.5625
0,0.6125,4.3
40,0.5125,6.4625
20,0.425,12.325
80,0.6375,18.325
0,0.65,14.85
10,0.6875,4.775
60,0.6875,4.1
40,0.6625,5.725
80,0.475,8.025
0,0.6125,8.15
10,0.6875,24.2375
20,0.6375,5.1875
10,0.525,5.6375
20,0.5875,10.8
40,0.4875,3.5625
10,0.475,7.5
60,0.45,19.1
20,0.475,3.6
80,0.55,18.575
0,0.55,5.375
40,0.55,7.65
60,0.35,4.9625
80,0.55,11.3875
20,0.55,3.1875
10,0.5125,22.1375
0,0.8125,2.9875
60,0.675,2.7125
40,0.575,20.6125
20,0.575,3.9125
80,0.5875,5.525
0,0.55,25.7625
10,0.5625,18.35
60,0.7125,2.2375
40,0.5875,4.475
80,0.2875,6.1125
0,0.6125,23.8
10,0.5125,4.1875
20,0.65,2.9125
60,0.55,11.4875
0,1.5375,2.475
40,0.525,7.8375
10,0.2625,16.1875
80,0.5625,8.45
20,0.425,10.3875
40,1.525,2.9375
10,0.6125,7.3375
60,0.525,5.3375
80,0.6625,6.475
0,0.5375,6.2875
40,0.5125,2.4125
60,0.5,3.55
80,0.725,5.7625
20,0.7125,4.3125
10,0.5125,12.1
0,0.5,16.925
60,0.5875,9.8
40,0.5625,17.2875
20,0.5375,10.4375
80,0.4,3.9
0,0.525,4.875
10,0.5875,6.0375
60,0.45,5.2625
40,0.5,8.0
80,0.45,10.75
0,0.725,9.35
10,0.625,15.4875
20,0.75,5.4
60,0.375,15.4375
0,0.45,19.825
10,0.8375,31.25
20,0.7,2.725
0,0.5375,2.225
40,0.85,35.975
80,0.875,5.85
20,0.725,20.3
10,1.0125,14.9125
0,0.5625,5.15
60,0.3125,2.6875
40,0.5375,16.875
20,0.6,21.1375
80,0.5,2.5
0,0.4,25.75
10,1.5875,23.9375
60,1.075,4.25
40,0.5125,2.525
0,1.25,1.825
10,0.325,2.75
20,0.3,4.3625
60,0.1125,6.325
0,1.0375,15.525
40,0.875,10.4625
10,0.3125,2.0125
20,0.3,6.0
40,0.45,4.4375
60,0.325,7.7625
20,0.1375,14.6625
80,0.3,4.8625
0,0.4125,2.625
40,0.45,2.6875
60,0.5625,2.825
80,0.475,2.525
20,0.425,2.975
10,0.4375,2.7
0,0.6875,2.4125
60,0.4375,6.5875
40,0.5625,2.725
20,0.4125,3.1125
80,1.3125,2.1125
0,0.4375,11.075
10,0.3875,22.45
60,0.45,9.6125
40,0.4625,2.2875
80,0.425,8.1875
0,0.425,6.175
10,0.675,3.9125
60,0.4,18.75
0,0.725,12.5
40,0.275,12.175
10,0.6375,20.2375
80,0.4375,15.1625
40,1.0125,2.025
10,0.6125,8.425
60,0.6125,21.1875
20,0.5875,13.975
80,0.725,11.2625
40,0.575,5.5375
60,0.65,8.625
10,0.475,25.2375
0,0.675,3.7625
60,1.125,5.2
40,1.2875,2.4125
20,0.15,17.3125
80,0.675,19.475
0,0.9,3.2625
10,0.6375,3.4875
60,0.95,6.5
40,0.6875,15.4125
80,0.5875,25.225
0,1.3625,1.6
10,0.65,4.9375
20,0.4875,8.825
